罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,（市区町村コード発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,出洲港,20240727,10,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,出洲港,20241020,20,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,20240103,14,その他,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,20231219,15,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,20240222,17,４階建て以上共同住宅,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,20240425,15,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,20240304,13,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,20240804,17,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,20241010,21,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,20241020,10,４階建て以上共同住宅,その他,10歳代,中学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240401,17,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240402,23,道路上,その他,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240411,9,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240414,21,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240630,11,その他,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240706,11,その他,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240710,9,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240717,8,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240730,22,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20240929,19,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20241123,21,道路上,その他,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,20241128,20,その他,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,弁天２丁目,20240706,19,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,本千葉町,20240626,15,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,松波２丁目,20240706,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,市場町,20240322,21,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,市場町,20241220,8,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,亥鼻１丁目,20240617,20,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,亥鼻１丁目,20240714,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,亥鼻１丁目,20240801,12,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,亥鼻２丁目,20241013,17,一戸建住宅,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,亥鼻３丁目,20240529,9,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,亥鼻３丁目,20240720,20,その他の住宅（３階建て以下共同住宅等）,その他,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,葛城１丁目,20240322,6,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,葛城１丁目,20240606,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,葛城２丁目,20240515,8,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,寒川町１丁目,20241214,22,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,寒川町３丁目,20240726,6,その他,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,末広１丁目,20240220,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,末広１丁目,20240318,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,末広１丁目,20240608,22,一戸建住宅,その他,10歳代,中学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,末広１丁目,20240926,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,末広１丁目,20241210,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,末広２丁目,20240702,4,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,末広２丁目,20240728,20,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,末広２丁目,20241213,22,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,長洲１丁目,20240517,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,長洲１丁目,20240530,9,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,長洲１丁目,20241004,8,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,長洲１丁目,不明,不明,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,長洲１丁目,20241217,7,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,長洲２丁目,20240320,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,長洲２丁目,20240531,7,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,長洲２丁目,20240814,1,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,長洲２丁目,20241010,21,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,本千葉町,20240211,10,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20240102,17,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20240123,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20240105,19,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20240228,8,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20240608,15,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20240718,18,４階建て以上共同住宅,その他,60-64歳,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20240816,22,４階建て以上共同住宅,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20241007,8,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20241011,12,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20241013,7,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20241104,19,その他,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20241116,7,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,港町,20241202,19,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,春日１丁目,20240921,13,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240311,17,その他,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240303,8,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240319,21,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240602,7,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240605,15,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240225,18,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20231122,21,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240621,7,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240820,7,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240901,13,道路上,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240909,21,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240926,1,道路上,その他,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20241127,19,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉２丁目,20240909,9,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉２丁目,20241017,0,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉３丁目,20240813,14,駐車（輪）場,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新田町,20241116,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,20240918,15,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,20240917,15,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,20241014,21,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,20241114,21,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,20241115,20,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,20241203,17,その他,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,末広５丁目,20241204,11,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240217,16,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240221,10,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240226,8,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240327,22,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240513,5,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240521,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240514,15,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240529,7,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240527,18,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240526,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240522,22,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240613,8,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240618,7,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240614,7,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240725,18,その他,その他,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240728,1,道路上,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240910,13,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240921,1,道路上,その他,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240927,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20241005,22,その他,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20241210,17,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,20241214,23,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
