Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,1917,
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,28,104,1917,1800
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.9,120.9,1917,54
Biological,Epidemic,Viral disease,BGD,Bangladesh,Southern Asia,Asia,,,1918,393000
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1918,34
Climatological,Wildfire,Forest fire,USA,United States of America,Northern America,Americas,,,1918,1000
Geophysical,Earthquake,Ground movement,PRI,Puerto Rico,Latin America and the Caribbean,Americas,18.06,-67.54,1918,116
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,Asia,8.29,124.4,1918,100
Biological,Epidemic,Viral disease,CAN,Canada,Northern America,Americas,,,1918,50000
Biological,Epidemic,Viral disease,NZL,New Zealand,Australia and New Zealand,Oceania,,,1918,6700
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,23.5,117,1918,10000
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1919,5000
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1919,500
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1919,
Biological,Epidemic,Viral disease,AIA,Anguilla,Latin America and the Caribbean,Americas,,,1919,
Climatological,Drought,Drought,AIA,Anguilla,Latin America and the Caribbean,Americas,,,1919,
Biological,Epidemic,Bacterial disease,IND,India,Southern Asia,Asia,,,1920,2000000
Biological,Epidemic,Bacterial disease,IND,India,Southern Asia,Asia,,,1920,500000
Hydrological,Flood,Flood (General),DFR,Germany Federal Republic,Western Europe,Europe,,,1920,
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,36.888,105.606,1920,180000
Biological,Epidemic,Viral disease,AIA,Anguilla,Latin America and the Caribbean,Americas,,,1920,
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,44.3,10.3,1920,1400
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1920,224
Geophysical,Earthquake,Ground movement,MEX,Mexico,Latin America and the Caribbean,Americas,19.26,-96.97,1920,648
Geophysical,Earthquake,Ground movement,ALB,Albania,Southern Europe,Europe,40.2,20,1920,200
Geophysical,Earthquake,Ground movement,ARG,Argentina,Latin America and the Caribbean,Americas,-32.7,-68.4,1920,400
Climatological,Drought,Drought,CHN,China,Eastern Asia,Asia,,,1920,500000
Climatological,Drought,Drought,CPV,Cabo Verde,Sub-Saharan Africa,Africa,,,1920,24000
Biological,Epidemic,Viral disease,AIA,Anguilla,Latin America and the Caribbean,Americas,,,1921,
Climatological,Drought,Drought,SUN,Soviet Union,Eastern Europe,Europe,,,1921,1200000
Geophysical,Earthquake,Ground movement,CHL,Chile,Latin America and the Caribbean,Americas,-28.553,-70.755,1922,1000
Hydrological,Mass movement (wet),Landslide (wet),ITA,Italy,Southern Europe,Europe,,,1922,100
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1922,
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1922,100000
Biological,Epidemic,Viral disease,AIA,Anguilla,Latin America and the Caribbean,Americas,,,1922,
Climatological,Wildfire,Forest fire,CAN,Canada,Northern America,Americas,,,1922,43
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,24.5,122,1922,5
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,32.7,130.3,1922,27
Biological,Epidemic,Parasitic disease,SUN,Soviet Union,Eastern Europe,Europe,,,1923,
Biological,Epidemic,Bacterial disease,NER,Niger,Sub-Saharan Africa,Africa,,,1923,100000
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1923,6
Meteorological,Storm,Tropical cyclone,MMR,Myanmar,South-eastern Asia,Asia,,,1923,6
Meteorological,Storm,Hail,SUN,Soviet Union,Eastern Europe,Europe,,,1923,23
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,35.413,139.298,1923,143000
Hydrological,Mass movement (wet),Landslide (wet),JPN,Japan,Eastern Asia,Asia,,,1923,200
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1923,3000
Meteorological,Storm,Tropical cyclone,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1923,4
Biological,Epidemic,Viral disease,AIA,Anguilla,Latin America and the Caribbean,Americas,,,1923,
Meteorological,Storm,Tropical cyclone,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1923,100
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,31.295,100.75,1923,5000
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,35.2,59.2,1923,2200
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,36.617,57.046,1923,157
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,29.196,56.833,1923,290
Geophysical,Earthquake,Ground movement,COL,Colombia,Latin America and the Caribbean,Americas,1,-77.5,1923,300
Biological,Epidemic,Bacterial disease,IND,India,Southern Asia,Asia,,,1924,300000
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,1924,1000
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1924,1242
Geophysical,Earthquake,Ground movement,ECU,Ecuador,Latin America and the Caribbean,Americas,-1.29,-78.52,1924,40
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-7.21,109.56,1924,727
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,39.7,42.8,1924,50
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,36.983,164,1924,100
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,39.897,41.891,1924,60
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-7.3,109.8,1924,60
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1925,739
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,25.713,100.422,1925,5000
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1925,80
Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,34.25,-119.41,1925,13
Meteorological,Storm,Tropical cyclone,TKL,Tokelau,Polynesia,Oceania,,,1925,
Hydrological,Flood,Flood (General),DFR,Germany Federal Republic,Western Europe,Europe,,,1925,
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,41.2,42.8,1925,200
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,Asia,9.782,123.064,1925,17
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,35.423,135.007,1925,395
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,38,30.5,1925,3
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,27,100,1925,12
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,34.6,58.1,1925,500
Biological,Epidemic,Viral disease,IND,India,Southern Asia,Asia,,,1926,423000
Hydrological,Flood,Flood (General),ROU,Romania,Eastern Europe,Europe,,,1926,1000
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1926,25
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1926,
Meteorological,Storm,Tropical cyclone,MMR,Myanmar,South-eastern Asia,Asia,,,1926,2700
Hydrological,Flood,Flood (General),DFR,Germany Federal Republic,Western Europe,Europe,,,1926,
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,,,1926,
Meteorological,Storm,Tropical cyclone,BHS,Bahamas,Latin America and the Caribbean,Americas,,,1926,
Meteorological,Storm,Storm (General),PAK,Pakistan,Southern Asia,Asia,,,1926,
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1926,243
Meteorological,Storm,Tropical cyclone,CUB,Cuba,Latin America and the Caribbean,Americas,,,1926,600
Hydrological,Mass movement (wet),Landslide (wet),COL,Colombia,Latin America and the Caribbean,Americas,,,1926,100
Geophysical,Earthquake,Ground movement,EGY,Egypt,Northern Africa,Africa,30.03,31.15,1926,12
Geophysical,Volcanic activity,Ash fall,JPN,Japan,Eastern Asia,Asia,,,1926,144
Hydrological,Mass movement (wet),Mudslide,FRA,France,Western Europe,Europe,,,1926,28
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,35.632,135.013,1927,3022
Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,,,1927,246
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,37.645,102.489,1927,40912
Geophysical,Earthquake,Ground movement,JOR,Jordan,Western Asia,Asia,31.922,35.633,1927,268
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1927,56
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1927,5000
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1927,87
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1927,629
Hydrological,Flood,Flood (General),DZA,Algeria,Northern Africa,Africa,,,1927,3000
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-0.842,120.764,1927,50
Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,38,23.44,1928,103
Geophysical,Earthquake,Ground movement,CHL,Chile,Latin America and the Caribbean,Americas,-35.28,-71.4,1928,220
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,38.25,27.1,1928,50
Geophysical,Earthquake,Ground movement,ROU,Romania,Eastern Europe,Europe,,,1928,
Geophysical,Earthquake,Ground movement,BGR,Bulgaria,Eastern Europe,Europe,,,1928,107
Meteorological,Storm,Hail,ROU,Romania,Eastern Europe,Europe,,,1928,6
Meteorological,Storm,Tornado,POL,Poland,Eastern Europe,Europe,,,1928,82
Geophysical,Earthquake,Tsunami,IDN,Indonesia,South-eastern Asia,Asia,-8.3,121.7,1928,128
Meteorological,Storm,Tropical cyclone,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,1928,300
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1928,1836
Meteorological,Storm,Tropical cyclone,GLP,Guadeloupe,Latin America and the Caribbean,Americas,,,1928,2000
Meteorological,Storm,Tropical cyclone,MSR,Montserrat,Latin America and the Caribbean,Americas,,,1928,
Meteorological,Storm,Tropical cyclone,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Americas,,,1928,
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1928,36
Hydrological,Flood,Flood (General),BEL,Belgium,Western Europe,Europe,,,1928,
Geophysical,Earthquake,Tsunami,CAN,Canada,Northern America,Americas,48.6,-58,1928,27
Climatological,Drought,Drought,CHN,China,Eastern Asia,Asia,,,1928,3000000
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",MEX,Mexico,Latin America and the Caribbean,Americas,,,1929,60
Meteorological,Storm,Hail,DFR,Germany Federal Republic,Western Europe,Europe,,,1929,
Meteorological,Storm,Tropical cyclone,BHS,Bahamas,Latin America and the Caribbean,Americas,,,1929,
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,37.8,57.8,1929,3253
Geophysical,Earthquake,Ground movement,NZL,New Zealand,Australia and New Zealand,Oceania,-41.55,172.25,1929,17
Biological,Infestation,Locust infestation,NER,Niger,Sub-Saharan Africa,Africa,,,1930,
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1930,1369
Geophysical,Earthquake,Ground movement,MMR,Myanmar,South-eastern Asia,Asia,17.86,96.43,1930,500
Meteorological,Storm,Hail,GRC,Greece,Southern Europe,Europe,,,1930,22
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,40.922,15.377,1930,1883
Meteorological,Storm,Tropical cyclone,DOM,Dominican Republic,Latin America and the Caribbean,Americas,,,1930,2000
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,35.05,139.129,1930,259
Meteorological,Storm,Storm (General),BEL,Belgium,Western Europe,Europe,,,1930,60
Geophysical,Earthquake,Ground movement,MMR,Myanmar,South-eastern Asia,Asia,18.233,96.298,1930,36
Meteorological,Storm,Tropical cyclone,DMA,Dominica,Latin America and the Caribbean,Americas,,,1930,2000
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,38.087,44.781,1930,1360
Hydrological,Mass movement (wet),Landslide (wet),FRA,France,Western Europe,Europe,,,1930,40
Geophysical,Earthquake,Ground movement,NIC,Nicaragua,Latin America and the Caribbean,Americas,12.1,-86.2,1930,1000
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,26.8,103,1930,42
Geophysical,Earthquake,Ground movement,MMR,Myanmar,South-eastern Asia,Asia,17.4,95.5,1930,50
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,30,100,1930,200
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,38.4,68.5,1930,151
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,43.667,13.267,1930,18
Geophysical,Earthquake,Ground movement,ALB,Albania,Southern Europe,Europe,40.5,19.5,1930,35
Geophysical,Earthquake,Ground movement,ALB,Albania,Southern Europe,Europe,40.3,19.6,1930,25
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.261,120.277,1930,4
