国名,英語国名,コード
バハマ,Bahamas,BHS
バミューダ諸島,Bermuda,BMU
バルバドス,Barbados,BRB
バングラディシュ,Bangladesh,BGD
パキスタン,Pakistan,PAK
パナマ,Panama,PAN
パプアニューギニア,Papua New Guinea,PNG
パラオ,Palau,PLW
パラグアイ,Paraguay,PRY
パレスチナ,Palestinian Territory,PSE
東ティモール,Timor-Leste,TLS
ピトケアン島,Pitcairn,PCN
フィジー諸島,Fiji,FJI
フィリピン,Philippines,PHL
フィンランド,Finland,FIN
マン島,Isle of Man,IMN
フォークランド（マルビナス）諸島,Falkland Islands,FLK
フランス,France,FRA
フランス領ギアナ,French Guiana,GUF
フランス領ポリネシア,French Polynesia,PYF
ブータン,Bhutan,BTN
ブラジル,Brazil,BRA
ブルガリア,Bulgaria,BGR
ブルキナファソ,Burkina Faso,BFA
ブルネイ,Brunei Darussalam,BRN
ブルンジ,Burundi,BDI
プエルトリコ,Puerto Rico,PRI
米国,United States of America,USA
米領サモア,American Samoa,ASM
米領バージン諸島,"Virgin Islands, U.S.",VIR
ベトナム,Viet Nam,VNM
ベナン,Benin,BEN
ベネズエラ,Venezuela,VEN
ベラルーシ,Belarus,BLR
ベリーズ,Belize,BLZ
ベルギー,Belgium,BEL
ペルー,Peru,PER
香港,Hong Kong,HKG
ホンジュラス,Honduras,HND
ボスニア・ヘルツェゴビナ,Bosnia and Herzegovina,BIH
ボツワナ,Botswana,BWA
ボリビア,Bolivia,BOL
ポーランド,Poland,POL
ポルトガル,Portugal,PRT
マーシャル諸島,Marshall Islands,MHL
マイヨット島,Mayotte,MYT
マカオ,Macao,MAC
マダガスカル,Madagascar,MDG
マラウイ,Malawi,MWI
マリ,Mali,MLI
マルタ,Malta,MLT
マルチニーク島,Martinique,MTQ
マレーシア,Malaysia,MYS
ミクロネシア連邦,Micronesia,FSM
ミッドウェー諸島,Midway Atoll,MID
南アフリカ,South Africa,ZAF
南スーダン,SOUTH SUDAN,SSD
ミャンマー,Myanmar,MMR
メキシコ,Mexico,MEX
モーリシャス,Mauritius,MUS
モーリタニア,Mauritania,MRT
モザンビーク,Mozambique,MOZ
モナコ,Monaco,MCO
モルディブ,Maldives,MDV
モルドバ,Moldova,MDA
モロッコ,Morocco,MAR
モンゴル,Mongolia,MNG
モンセラット,Montserrat,MSR
モンテネグロ,Montenegro,MNE
ヨルダン,Jordan,JOR
ラオス,Lao,LAO
ラトビア,Latvia,LVA
リトアニア,Lithuania,LTU
リヒテンシュタイン,Liechtenstein,LIE
リビア,Libyan Arab Jamahiriya,LBY
リベリア,Liberia,LBR
ルーマニア,Romania,ROU
ジブラルタル,Gibraltar,GIB
ルクセンブルク,Luxembourg,LUX
ルワンダ,Rwanda,RWA
レソト,Lesotho,LSO
レバノン,Lebanon,LBN
レユニオン,Reunion,REU
ロシア,Russian Federation,RUS
ワリス・フテュナ諸島,Wallis and Futuna,WLF
その他の国・地域,,ZZZ
